t_s,cpu_avg_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,mem_pct,soc_temp_C,arm_MHz,v3d_MHz
0.0,0.0,0.0,0.0,0.0,0.0,41.8,51.0,2400.0,960.0
0.53,20.4,22.0,19.2,11.8,28.8,41.9,50.5,2400.0,960.0
1.06,19.3,18.9,21.6,15.4,21.2,42.0,49.9,2400.0,960.0
1.59,28.8,22.6,62.7,14.3,15.7,42.1,51.6,2400.0,960.0
2.12,45.1,45.3,45.5,43.4,46.3,42.1,49.4,2400.0,960.0
2.65,0.5,1.9,0.0,0.0,0.0,42.1,50.5,2400.0,960.0
3.17,2.9,2.0,0.0,7.5,2.0,42.3,48.8,2400.0,960.0
3.7,1.9,1.9,0.0,5.7,0.0,42.3,51.0,2400.0,960.0
4.23,1.9,0.0,1.9,1.9,3.8,42.2,49.9,2400.0,960.0
4.75,3.8,3.7,1.9,7.5,1.9,42.2,49.9,2400.0,960.0
5.28,0.0,0.0,0.0,0.0,0.0,42.2,49.9,1500.0,500.0
5.8,2.4,1.9,0.0,7.7,0.0,42.2,48.8,1900.0,704.5
6.33,0.5,0.0,1.9,0.0,0.0,42.2,48.3,1500.0,500.0
6.85,1.9,0.0,0.0,7.7,0.0,42.1,49.4,1900.0,704.5
7.38,0.5,0.0,0.0,0.0,1.9,42.1,48.3,1500.0,500.0
7.91,2.8,1.9,0.0,9.4,0.0,42.1,47.2,1500.0,500.0
8.43,3.3,3.8,0.0,3.8,5.8,42.3,48.8,1700.0,960.0
8.97,10.4,3.8,9.4,15.1,13.2,42.9,49.4,1600.0,960.0
9.49,12.6,3.8,9.8,23.6,13.0,42.9,49.4,1700.0,960.0
10.02,13.1,17.0,14.5,18.9,2.0,42.9,49.4,1700.0,960.0
10.55,11.3,24.5,13.2,1.9,5.7,42.9,49.4,1800.0,960.0
11.08,14.6,27.8,8.0,13.5,9.3,42.9,49.4,1700.0,960.0
11.61,12.3,24.5,11.3,3.8,9.6,42.9,48.8,1700.0,960.0
12.14,14.3,25.0,13.2,11.3,7.7,42.9,49.4,1800.0,960.0
12.66,11.7,24.5,7.8,3.8,10.9,42.8,49.9,1800.0,960.0
13.2,15.8,24.1,14.8,17.0,7.4,42.9,49.9,2400.0,960.0
13.72,11.5,13.5,5.8,21.2,5.6,44.2,50.5,2400.0,960.0
14.25,4.7,3.8,3.8,11.3,0.0,42.6,49.9,2400.0,960.0
14.77,1.4,0.0,0.0,5.8,0.0,42.6,48.3,2400.0,960.0
15.3,0.0,0.0,0.0,0.0,0.0,42.6,48.8,2400.0,960.0
15.82,1.9,0.0,0.0,7.5,0.0,42.6,48.8,2400.0,960.0
16.35,0.0,0.0,0.0,0.0,0.0,42.5,48.8,2400.0,960.0
16.87,2.9,3.8,0.0,5.8,1.9,42.5,48.8,2400.0,960.0
17.4,1.9,1.9,1.9,1.9,1.9,42.5,48.8,2400.0,960.0
17.92,1.9,0.0,0.0,5.8,1.9,42.5,47.7,1500.0,500.0
18.45,0.0,0.0,0.0,0.0,0.0,42.5,47.7,1500.0,500.0
18.98,1.9,0.0,0.0,7.8,0.0,42.4,48.3,1500.0,500.0
19.5,0.0,0.0,0.0,0.0,0.0,42.5,48.3,1500.0,500.0
20.03,2.9,0.0,0.0,9.6,1.9,42.4,47.2,1500.0,500.0
20.55,0.9,1.9,1.9,0.0,0.0,42.4,47.7,1500.0,500.0
21.08,2.8,0.0,1.9,9.4,0.0,42.4,47.2,1500.0,500.0
21.61,0.5,0.0,1.9,0.0,0.0,42.4,48.3,1500.0,500.0
22.13,2.9,0.0,1.9,9.6,0.0,42.3,48.8,1500.0,500.0
22.66,0.0,0.0,0.0,0.0,0.0,42.3,46.6,1500.0,500.0
23.19,3.8,1.9,3.7,9.4,0.0,42.3,47.7,1500.0,500.0
23.71,1.9,0.0,1.9,5.8,0.0,42.3,47.7,1500.0,704.5
24.24,0.9,0.0,0.0,3.7,0.0,42.3,46.6,1500.0,500.0
